ID	System	Time	Time_d	Treatment	Sys_Time	Sys_Time_Treat	Replicate	S_T_Tr_Rep	Operator	Run	Temp_Tunn_3h	Humid_3h	Temp_2m_7d	Temp_5cm_7d	Temp_soil_7d	Humid_7d	Precip_intens_7d	Precip_7d	Radiation_7d
L0ZI	L	0	0	Z	L0	L0Z	I	L0ZI	gkma	run4	34	41.3	19.5	20.3	19.1	63.8	0	0	7178
L0ZII	L	0	0	Z	L0	L0Z	II	L0ZII	gkma	run4	34	41.3	19.5	20.3	19.1	63.8	0	0	7178
L1AI	L	1	7	A	L1	L1A	I	L1AI	vove	run2	13.8	81.3	18.5	19.5	19.6	73.3	17.8	7.6	5388
L1AII	L	1	7	A	L1	L1A	II	L1AII	vove	run2	13.8	81.3	18.5	19.5	19.6	73.3	17.8	7.6	5388
L1AIII	L	1	7	A	L1	L1A	III	L1AIII	vove	run2	13.8	81.3	18.5	19.5	19.6	73.3	17.8	7.6	5388
L1BI	L	1	7	B	L1	L1B	I	L1BI	vove	run2	13.8	81.3	18.5	19.5	19.6	73.3	17.8	7.6	5388
L1BII	L	1	7	B	L1	L1B	II	L1BII	vove	run2	13.8	81.3	18.5	19.5	19.6	73.3	17.8	7.6	5388
L1BIII	L	1	7	B	L1	L1B	III	L1BIII	vove	run2	13.8	81.3	18.5	19.5	19.6	73.3	17.8	7.6	5388
L1CI	L	1	7	C	L1	L1C	I	L1CI	vove	run2	13.8	81.3	18.5	19.5	19.6	73.3	17.8	7.6	5388
L1CII	L	1	7	C	L1	L1C	II	L1CII	vove	run2	13.8	81.3	18.5	19.5	19.6	73.3	17.8	7.6	5388
L1CIII	L	1	7	C	L1	L1C	III	L1CIII	vove	run2	13.8	81.3	18.5	19.5	19.6	73.3	17.8	7.6	5388
L1DI	L	1	7	D	L1	L1D	I	L1DI	vove	run2	13.8	81.3	18.5	19.5	19.6	73.3	17.8	7.6	5388
L1DII	L	1	7	D	L1	L1D	II	L1DII	vove	run2	13.8	81.3	18.5	19.5	19.6	73.3	17.8	7.6	5388
