SID;system;time;treat;sys-time;sys-treat;sys-time-treat;RF0002;RF0003;RF0004;RF0005;RF0006;RF0007;RF0008;RF0009;RF0010;RF0011;RF0012;RF0013;RF0014;RF0015;RF0016;RF0017;RF0018;RF0019;RF0020;RF0021;RF0022;RF0023;RF0024;RF0025;RF0027;RF0028;RF0029;RF0030;RF0031;RF0032;RF0033;RF0034;RF0035;RF0036;RF0037;RF0038;RF0039;RF0040;RF0042;RF0044;RF0045;RF0048;RF0050;RF0051;RF0052;RF0053;RF0054;RF0055;RF0056;RF0057;RF0058;RF0059;RF0060;RF0061;RF0063;RF0064;RF0065;RF0066;RF0067;RF0068;RF0069;RF0070;RF0071;RF0072;RF0074;RF0075;RF0077;RF0078;RF0079;RF0082;RF0084;RF0085;RF0086;RF0088;RF0089;RF0090;RF0091;RF0092;RF0093;RF0094;RF0095;RF0096;RF0097;RF0098;RF0099;RF0100;RF0101;RF0102;RF0103;RF0104;RF0105;RF0106;RF0107;RF0108;RF0109;RF0112;RF0113;RF0114;RF0115;RF0116;RF0117;RF0119;RF0121;RF0123;RF0124;RF0125;RF0126;RF0127;RF0128;RF0129;RF0131;RF0132;RF0133;RF0134;RF0135;RF0136;RF0137;RF0139;RF0140;RF0141;RF0142;RF0143;RF0144;RF0145;RF0146;RF0147;RF0148;RF0150;RF0152;RF0153;RF0154;RF0155;RF0157;RF0158;RF0159;RF0160;RF0161;RF0162;RF0163;RF0164;RF0165;RF0166;RF0167;RF0168;RF0169;RF0171;RF0172;RF0173;RF0174
L0Z;lettuce;w0;Z;L0;L_untreated;L0_untreated;0.00;0.00;0.00;0.00;2.42;24.23;2750.26;155.08;380.43;361.05;264.12;92.08;24.23;24.23;16.96;55.73;368.32;24.23;19.39;142.97;9.69;21.81;513.71;225.35;2.42;0.00;0.00;0.00;0.00;273.81;0.00;0.00;128.43;4.85;0.00;218.08;55.73;0.00;21.81;0.00;0.00;63.00;19.39;43.62;0.00;14.54;36.35;12.12;14.54;0.00;0.00;0.00;65.42;29.08;101.77;0.00;21.81;38.77;104.19;0.00;2.42;0.00;0.00;0.00;29.08;0.00;239.89;0.00;0.00;0.00;0.00;547.63;222.93;19.39;12.12;2.42;7.27;123.58;55.73;0.00;450.70;9.69;0.00;16.96;7.27;2.42;0.00;1417.54;41.19;4.85;0.00;2.42;101.77;0.00;0.00;4.85;0.00;21.81;33.92;4.85;26.65;0.00;111.46;2.42;0.00;9.69;0.00;19.39;0.00;0.00;0.00;0.00;0.00;4.85;31.50;0.00;0.00;84.81;65.42;118.73;99.35;2435.25;99.35;12.12;43.62;94.50;310.16;0.00;0.00;121.16;1097.68;642.13;4.85;2.42;0.00;0.00;0.00;0.00;70.27;450.70;84.81;0.00;0.00;16.96;67.85;283.51;0.00;0.00;0.00
L1A;lettuce;w1;A;L1;L_conventional;L1_conventional;2.37;5.33;0.00;0.00;2.96;26.07;2786.30;151.70;507.84;418.36;381.62;53.33;13.63;20.74;45.04;10.67;301.03;7.70;2.37;39.70;2.96;14.81;429.62;209.18;0.59;0.59;1.19;1.78;1.19;259.55;0.00;13.63;88.29;1.19;0.00;306.96;52.15;0.00;2.37;0.00;0.59;40.30;4.74;27.26;1.78;3.56;50.96;4.74;3.56;0.00;2.96;0.00;69.92;27.85;69.33;0.00;16.59;16.59;53.92;0.00;0.00;0.00;0.00;0.59;10.07;2.96;286.81;0.59;0.59;0.00;2.96;527.39;186.66;7.70;4.15;0.59;0.59;81.78;68.74;0.00;572.43;2.96;0.00;6.52;1.19;1.19;0.00;1010.94;49.18;10.67;0.00;1.19;101.33;0.00;0.00;1.19;6.52;13.63;8.30;1.19;10.07;0.00;61.04;4.15;1.78;15.41;0.00;7.70;0.00;0.00;0.00;0.00;0.00;7.11;16.59;0.59;0.00;51.55;45.63;122.07;62.81;2748.97;109.63;42.67;32.59;30.81;302.81;0.00;0.59;93.03;882.35;431.99;1.19;10.07;0.00;0.59;0.00;0.00;158.22;212.14;103.11;0.00;0.00;4.74;72.29;519.10;0.59;1.19;0.00
L1B;lettuce;w1;B;L1;L_manured;L1_manured;1.42;7.12;0.00;0.00;1.42;27.78;2798.38;143.20;446.69;419.62;398.96;62.69;22.80;39.90;31.35;39.90;348.37;18.52;15.67;95.46;9.26;17.81;573.50;200.19;2.14;0.00;0.00;1.42;4.99;265.73;0.00;12.11;112.56;3.56;0.00;272.86;47.02;0.00;0.71;0.00;3.56;38.47;7.12;60.56;2.14;7.12;44.17;12.11;7.84;0.00;3.56;0.71;62.69;23.51;75.52;0.00;25.65;32.77;63.41;0.00;0.71;0.00;0.00;0.00;25.65;0.00;268.58;0.00;0.00;0.71;1.42;538.59;184.52;18.52;14.25;1.42;3.56;105.44;58.42;0.00;527.90;6.41;1.42;11.40;4.27;4.99;0.71;1419.85;49.16;17.10;0.00;4.27;180.95;0.71;0.71;9.26;5.70;17.81;27.07;5.70;19.24;0.71;106.15;5.70;2.85;15.67;0.00;7.12;0.00;0.00;0.00;0.00;0.71;9.26;29.92;0.00;0.00;77.65;77.65;151.75;86.92;3047.73;109.71;48.44;32.06;73.38;315.60;0.00;0.71;158.16;995.96;720.97;2.14;5.70;0.71;1.42;0.00;0.71;111.85;291.38;99.03;0.71;0.71;10.69;103.30;457.37;0.00;2.14;0.00
L1C;lettuce;w1;C;L1;L_manured;L1_manured;2.22;4.43;0.00;0.00;2.22;21.06;2685.26;167.34;413.37;369.04;346.88;66.49;26.60;32.14;28.81;67.60;341.34;24.38;27.71;98.63;7.76;26.60;569.63;220.54;1.11;0.00;0.00;0.00;0.00;254.89;0.00;14.41;110.82;5.54;0.00;206.13;55.41;1.11;0.00;0.00;3.32;37.68;7.76;64.28;0.00;11.08;57.63;13.30;7.76;1.11;0.00;1.11;66.49;25.49;68.71;0.00;23.27;29.92;68.71;0.00;0.00;0.00;0.00;0.00;34.36;0.00;254.89;0.00;0.00;0.00;0.00;546.36;172.88;18.84;13.30;1.11;4.43;107.50;58.74;0.00;510.90;11.08;0.00;18.84;1.11;3.32;1.11;1398.60;52.09;14.41;0.00;3.32;183.97;1.11;0.00;8.87;5.54;13.30;45.44;6.65;19.95;0.00;126.34;5.54;1.11;11.08;0.00;6.65;0.00;0.00;0.00;0.00;1.11;6.65;36.57;3.32;0.00;60.95;89.77;156.26;91.98;2926.85;113.04;41.00;41.00;70.93;295.90;1.11;0.00;158.48;1039.53;742.52;3.32;4.43;0.00;1.11;0.00;1.11;90.88;309.20;82.01;0.00;0.00;9.97;110.82;478.76;0.00;0.00;0.00
L1D;lettuce;w1;D;L1;L_conventional;L1_conventional;2.41;5.62;1.61;0.00;1.61;24.09;2781.27;132.52;442.53;371.05;357.40;57.83;18.47;19.28;44.98;10.44;334.11;14.46;4.02;46.58;4.82;17.67;437.71;219.26;0.80;0.00;0.00;1.61;2.41;250.58;0.00;14.46;98.79;0.80;0.00;273.07;46.58;0.80;0.80;0.00;0.00;42.57;4.02;37.75;0.00;5.62;53.01;4.82;5.62;0.80;1.61;0.00;61.04;31.32;72.28;0.00;17.67;23.29;56.22;0.00;0.00;0.00;0.00;0.80;16.06;0.00;260.22;0.80;0.00;0.00;2.41;502.77;165.45;10.44;5.62;1.61;0.80;86.74;60.24;0.00;562.20;4.82;0.00;7.23;1.61;0.00;0.00;1055.33;44.98;8.83;0.00;1.61;94.77;0.00;0.00;4.02;7.23;5.62;15.26;0.80;11.24;0.00;75.50;3.21;2.41;13.65;0.00;4.02;0.00;0.00;0.00;0.00;0.00;8.83;18.47;2.41;0.00;57.83;48.19;107.62;50.60;2718.63;92.36;33.73;30.52;36.14;289.93;0.00;0.00;99.59;866.59;469.84;0.80;8.83;0.00;0.80;0.00;0.80;117.26;225.68;73.09;0.00;0.00;8.03;88.35;472.25;0.00;0.00;0.00
L5A;lettuce;w5;A;L5;L_conventional;L5_conventional;0.00;1.79;0.00;0.00;0.00;28.59;2317.76;200.15;305.58;575.42;536.10;146.54;39.31;62.55;26.81;157.26;423.52;94.71;98.29;330.60;51.82;53.61;1224.11;225.16;3.57;0.00;0.00;0.00;5.36;344.89;8.94;12.51;139.39;14.30;0.00;335.96;89.35;0.00;10.72;0.00;10.72;83.99;21.44;189.42;1.79;23.23;17.87;44.68;16.08;1.79;0.00;3.57;57.18;28.59;109.01;0.00;75.05;69.69;101.86;0.00;0.00;0.00;0.00;0.00;75.05;0.00;302.01;1.79;1.79;0.00;5.36;664.77;200.15;71.48;55.40;0.00;17.87;210.87;64.33;0.00;552.19;35.74;10.72;42.89;10.72;17.87;1.79;3050.44;103.65;26.81;0.00;19.66;507.51;0.00;1.79;30.38;14.30;37.53;103.65;17.87;57.18;0.00;241.25;0.00;0.00;8.94;0.00;19.66;0.00;0.00;0.00;0.00;1.79;16.08;73.27;5.36;0.00;76.84;214.44;398.50;200.15;5087.64;148.32;94.71;71.48;193.00;400.29;0.00;0.00;307.37;1654.78;1701.24;5.36;8.94;1.79;0.00;1.79;0.00;73.27;598.65;119.73;0.00;0.00;42.89;209.08;328.81;0.00;10.72;0.00
L5B;lettuce;w5;B;L5;L_manured;L5_manured;0.00;0.00;0.00;0.00;0.00;29.05;2453.98;243.61;312.89;706.24;628.02;174.33;55.87;62.58;22.35;281.60;433.58;113.98;154.21;522.98;78.22;58.11;1644.92;261.49;4.47;0.00;2.23;4.47;0.00;415.70;4.47;15.64;185.50;29.05;0.00;487.22;84.93;0.00;4.47;0.00;22.35;100.57;35.76;265.96;0.00;35.76;46.93;60.34;22.35;4.47;2.23;4.47;64.81;15.64;145.27;0.00;96.10;107.28;105.04;0.00;0.00;0.00;0.00;0.00;145.27;0.00;355.36;4.47;2.23;0.00;4.47;757.65;230.20;113.98;98.34;0.00;40.23;263.72;37.99;0.00;616.85;53.64;6.70;55.87;15.64;29.05;0.00;4230.76;140.80;22.35;0.00;17.88;717.42;2.23;0.00;42.46;20.11;71.52;214.56;42.46;93.87;0.00;306.19;2.23;0.00;11.17;0.00;11.17;0.00;0.00;0.00;0.00;0.00;11.17;107.28;13.41;0.00;55.87;312.89;518.51;250.31;6159.53;194.44;87.16;78.22;297.25;480.51;0.00;0.00;435.82;1951.11;2409.28;4.47;8.94;0.00;0.00;13.41;0.00;13.41;775.53;125.16;0.00;0.00;73.75;219.03;379.94;2.23;6.70;0.00
L5C;lettuce;w5;C;L5;L_manured;L5_manured;0.00;0.00;0.00;0.00;0.00;35.17;2119.18;255.01;336.34;666.09;593.55;182.46;48.36;50.56;28.58;323.15;461.65;127.50;151.68;512.21;74.74;61.55;1519.04;233.02;4.40;0.00;2.20;4.40;0.00;437.47;6.59;15.39;175.87;26.38;0.00;516.61;87.93;0.00;6.59;0.00;10.99;94.53;46.16;261.60;0.00;43.97;43.97;59.35;24.18;2.20;4.40;2.20;46.16;15.39;136.30;0.00;98.92;83.54;112.11;2.20;0.00;0.00;0.00;0.00;114.31;0.00;349.53;6.59;0.00;0.00;6.59;784.80;228.63;103.32;94.53;2.20;26.38;235.22;57.16;0.00;617.73;46.16;2.20;68.15;13.19;30.78;6.59;3778.91;138.49;21.98;2.20;28.58;776.01;0.00;0.00;43.97;13.19;41.77;180.26;24.18;79.14;2.20;362.72;0.00;0.00;13.19;0.00;17.59;0.00;2.20;0.00;0.00;0.00;6.59;105.52;24.18;0.00;70.35;296.77;525.40;241.82;5801.36;189.06;96.73;79.14;268.19;477.04;0.00;0.00;375.91;1875.17;2229.10;8.79;15.39;0.00;0.00;8.79;0.00;52.76;736.44;116.51;0.00;0.00;70.35;213.24;367.12;2.20;13.19;0.00
L5D;lettuce;w5;D;L5;L_conventional;L5_conventional;0.00;2.74;0.00;0.00;0.00;30.18;2636.86;172.86;400.61;650.30;537.80;156.40;46.65;54.88;27.44;172.86;441.76;65.85;60.37;367.68;54.88;21.95;1418.58;219.51;2.74;0.00;0.00;2.74;2.74;419.81;2.74;10.98;183.84;8.23;0.00;397.86;85.06;0.00;5.49;0.00;8.23;79.57;5.49;222.25;0.00;21.95;30.18;49.39;13.72;2.74;0.00;2.74;10.98;8.23;112.50;0.00;96.04;79.57;112.50;0.00;0.00;0.00;0.00;0.00;79.57;0.00;268.90;0.00;0.00;0.00;2.74;685.97;189.33;63.11;52.13;5.49;16.46;244.20;87.80;0.00;562.49;41.16;10.98;35.67;13.72;21.95;0.00;3687.77;109.76;16.46;0.00;32.93;606.40;0.00;0.00;35.67;8.23;30.18;128.96;30.18;57.62;0.00;266.16;0.00;0.00;13.72;2.74;13.72;0.00;0.00;0.00;0.00;0.00;2.74;85.06;13.72;0.00;74.08;252.44;529.57;197.56;6107.87;197.56;87.80;52.13;181.10;425.30;0.00;0.00;375.91;1863.09;1772.54;5.49;5.49;0.00;0.00;2.74;0.00;107.01;532.31;112.50;0.00;0.00;27.44;189.33;340.24;0.00;5.49;0.00
M0Z;manure;w0;Z;M0;M_untreated;M0_untreated;0.00;0.00;2.67;0.00;0.00;34.05;2109.93;35.39;325.17;321.83;286.44;40.06;36.72;2.67;55.42;40.73;299.13;8.01;6.01;44.74;8.01;16.69;822.61;185.62;2.67;0.00;10.02;1.34;19.36;113.51;0.00;0.67;51.41;0.00;0.00;271.75;26.71;0.00;1.34;0.67;13.35;109.50;6.68;1.34;0.67;1.34;26.04;0.00;16.69;0.00;0.00;0.00;56.75;34.72;117.52;0.00;4.01;4.67;151.57;0.00;3.34;0.67;2.00;0.00;91.47;3.34;104.83;0.00;4.01;0.00;0.00;794.56;283.11;36.72;22.70;0.00;13.35;73.45;3.34;0.67;355.22;5.34;0.00;0.00;0.67;0.00;0.00;796.57;14.02;6.68;0.00;3.34;375.25;1.34;0.00;0.67;6.01;44.74;114.84;4.01;6.68;0.00;13.35;4.67;0.00;3.34;0.00;3.34;0.00;0.00;0.00;0.67;6.01;6.68;178.94;2.00;0.67;55.42;12.02;33.39;395.28;3525.46;197.64;0.67;48.07;180.95;393.28;0.67;0.00;180.28;773.87;825.95;6.01;8.68;12.69;2.00;2.67;0.00;1.34;488.09;131.54;0.00;0.00;1.34;72.78;259.07;0.67;2.67;0.67
