sample;Time;treatment;time_treat;dim1;dim2;Data;paired
L0Z;w0;;;-0.194;0.24292;resistome;1
L1A;w1;;;-0.40771;-0.093011;resistome;2
L1B;w1;;;-0.19151;-0.01696;resistome;3
L1C;w1;;;-0.15515;0.020933;resistome;4
L1D;w1;;;-0.37214;-0.070421;resistome;5
L5A;w5;;;0.26308;-0.035316;resistome;6
L5B;w5;;;0.39991;0.025812;resistome;7
L5C;w5;;;0.37984;0.024498;resistome;8
L5D;w5;;;0.27767;-0.098456;resistome;9
L0Z;w0;Z;0Z;-0.20017;0.3165;microbiome;1
L1A;w1;A;1A;-0.3317;-0.055517;microbiome;2
L1B;w1;B;1B;-0.14445;-0.04992;microbiome;3
L1C;w1;C;1C;-0.10947;-0.041629;microbiome;4
L1D;w1;D;1D;-0.30008;-0.075061;microbiome;5
L5A;w5;A;5A;0.29661;-0.065869;microbiome;6
L5B;w5;B;5B;0.28147;0.053777;microbiome;7
L5C;w5;C;5C;0.30357;0.010988;microbiome;8
L5D;w5;D;5D;0.20422;-0.093272;microbiome;9
