sample;Time;treatment;time_treat;dim1;dim2;Data;paired
L0Z;w0;;;-0.194;0.24292;resistome;1
L1A;w1;;;-0.40771;-0.093011;resistome;2
L1B;w1;;;-0.19151;-0.01696;resistome;3
L1C;w1;;;-0.15515;0.020933;resistome;4
L1D;w1;;;-0.37214;-0.070421;resistome;5
L5A;w5;;;0.26308;-0.035316;resistome;6
L5B;w5;;;0.39991;0.025812;resistome;7
L5C;w5;;;0.37984;0.024498;resistome;8
L5D;w5;;;0.27767;-0.098456;resistome;9
L0Z;w0;Z;0Z;-0.18389;0.26634;microbiome;1
L1A;w1;A;1A;-0.31443;-0.053216;microbiome;2
L1B;w1;B;1B;-0.11743;-0.04144;microbiome;3
L1C;w1;C;1C;-0.10462;-0.033412;microbiome;4
L1D;w1;D;1D;-0.28781;-0.077562;microbiome;5
L5A;w5;A;5A;0.22118;0.0059276;microbiome;6
L5B;w5;B;5B;0.31932;0.023137;microbiome;7
L5C;w5;C;5C;0.29754;-0.022335;microbiome;8
L5D;w5;D;5D;0.17013;-0.067438;microbiome;9
