ARGs abundance normalization aganist 16S	L0Z	L1A	L1B	L1C	L1D	L5A	L5B	L5C	L5D	M0Z	S0Z	S1A	S1B	S1C	S1D	S5A	S5B	S5C	S5D	W1A	W1B
aminoglycoside__aac(2')-I	0	0.000446950254361498	0.00015942391171025	0.000203585805701915	0	0	0	0	6.29755390080337e-05	0	0.00266795290188813	0.00433453479770123	0	0.00250173597188431	0.00405423272970032	0	0.00199117706542948	0.00184866160397213	0.00178079525348516	0	0
aminoglycoside__aac(3)-I	0	0.000409344363899891	7.66125315036936e-05	0.000102255597863917	0	6.671059793504e-05	0	0	0	0	0.000932449562406846	0.00375609380793602	0	0.000551022418506145	0.000580349809359951	0.000981147130735451	0.000952794530757636	0.000912235564219032	0.00104120927043531	0.000205890126838442	0
aminoglycoside__aac(3)-II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-IIIa	0	0.000233407503661408	0.000126888419524485	0	0	0	0	0	0	0	0.000559276430552447	0	0	0	0	0.00222873327933078	0.000413543372166076	0.000649953037043315	0	0	0
aminoglycoside__aac(3)-IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000465637014008702	0	0	0	0
aminoglycoside__aac(3)-IX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-Ib-aac(6')-Ib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-VI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-VII	0	0.000114171241585241	0	0	0.000160896088439242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-VIII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(6')-30-aac(6')-Ib'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(6')-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(6')-I	0.00297827077728335	0.000108502544378146	0.00556569699470992	0.00116016020783557	0.000242658599794981	0.000290399254329093	0.000591025376932115	0.00226439908573035	0.000277668183627598	0	0	0	0	0.000655143427523229	0.000709727155395609	0	0	0	0	0	3.55392901350256e-05
aminoglycoside__aac(6')-II	0	0.000178702812916029	0.000103815531820222	0	0	0	0	0	0	0	0	0	0.00104295678247833	0.000974271522576082	0	0	0	0.000985526615951548	0	0	0
aminoglycoside__aad(6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aad(9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA	0	0	0.000459270163445682	0	0.000120711360392059	0	0	0	0	0.010112735979899	0	0	0.00236175348619127	0.00321578743071123	0	0	0	0	0	0.000934390504290408	0.000200148889589852
aminoglycoside__aadB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadE	0	0.000194629351340979	0.000107943273553815	0	0	0	0	0	0	0.0230923847832029	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__ant(2'')-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000405563800435136	0
aminoglycoside__ant(3'')-Ih-aac(6')-IId	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__ant(4')-IIa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__ant(4')-Ia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__ant(9)-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(2'')-II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(2'')-III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(2'')-IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(2'')-Ie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3''')-III	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3'')-I	0	0	0	0	0.000457833496296401	0	0	0	0	0.00578306960893053	0.000872529328175443	0	0	0	0	0	0	0	0	0.000598507471429864	0
aminoglycoside__aph(3'')-IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3')-I	0	0	0	0	0	0.00041806452794297	0.000737918917278783	0.000135874693479597	9.42567785078608e-05	0	0	0	0	0	0	0	0	0	0	0.000676400354826779	0
aminoglycoside__aph(3')-IIb	0	0	0	0	0	0.000370114728118998	0.00121883395950237	0.00199654519728135	4.59933711856426e-05	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3')-V	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(3')-VII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(4)-I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aph(6)-I	0	0.000104524419124073	3.07008322965621e-05	0.000132761818571738	0.000283439559689815	0	0	0	1.4461725825289e-05	0.00296980612865186	0	0	0	0	0.00080656651029396	0.000595267563769984	0	0	0	0.00108647469558328	0
aminoglycoside__bifunctional aminoglycoside N-acetyltransferase and aminoglycoside phosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__rmtG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__streptomycin resistance protein	0	0	0	0	0	0	0	0	0	0.00513170670579596	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__streptothricin acetyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__tunicamycin resistance protein	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__viomycin phosphotransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacitracin__bacA	0.00336673345235898	0.00707898842776886	0.0264297504751554	0.0320908235949453	0.00780870577379579	0.0957006153280629	0.0964540640591302	0.105076753551955	0.0939586605158674	0.00232768397939862	0.00752926603970901	0.00414274408273555	0.00743851082945864	0.0077526474548891	0.00389263692233893	0.00922189058661703	0.00736445824837284	0.0052519158554832	0.00718904629018372	0.0421053954435778	0.0504363346645034
bacitracin__bcrA	0	0.000156243534480058	0.000196757359389233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
bacitracin__bcrC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-13	0	0	7.37303452791452e-05	0	0	7.10490241057935e-05	0	0.000208799788200071	3.22315750828519e-05	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-14	0	0	0	0	0	0	0	3.64261312747787e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-19	0	0	0	0	0	0	5.11612605122902e-05	0.00107847367238541	0.000161157875414259	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
beta-lactam__ACT-21	0	0	0	0	0	0	0	5.39887302822613e-05	0	0	0	0	0	0	0	0	0	0	0	0	0
