ARGs abundance normalization aganist Cell number	L0Z	L1A	L1B	L1C	L1D	L5A	L5B	L5C	L5D	M0Z	S0Z	S1A	S1B	S1C	S1D	S5A	S5B	S5C	S5D	W1A	W1B
aminoglycoside__aac(2')-I	0	0.000252806199837512	0.000104213118651722	0.000103751902951078	0	0	0	0	0.000182718637913046	0	0.000590512529839899	0.000307650234979698	0	0.000284865240229162	0.000444192642067839	0	0.000391223541252156	0.00027123875605852	0.000494018226714184	0	0
aminoglycoside__aac(3)-I	0	0.000231535371224412	5.00805101954467e-05	5.21117512549733e-05	0	5.08029062390317e-05	0	0	0	0	0.000206384134313351	0.000266594501266928	0	6.27432852161371e-05	6.35846860133801e-05	0.000145975331560378	0.000187203668061679	0.000133844744294718	0.000288846433306774	6.35155642492212e-05	0
aminoglycoside__aac(3)-II	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-IIIa	0	0.000132021099525934	8.29451352534111e-05	0	0	0	0	0	0	0	0.000123787694922061	0	0	0	0	0.000331591531196845	8.12523935360185e-05	9.53622084676258e-05	0	0	0
aminoglycoside__aac(3)-IV	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.14876756674938e-05	0	0	0	0
aminoglycoside__aac(3)-IX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-Ib-aac(6')-Ib	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-VI	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-VII	0	6.4578098869478e-05	0	0	7.26435016807317e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-VIII	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(3)-X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(6')-30-aac(6')-Ib'	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(6')-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aac(6')-I	0.000722823456993745	6.13717424909536e-05	0.00363821609360212	0.000591243720926691	0.000109558725591439	0.000221151159579346	0.000702504512285536	0.00247480780843398	0.000805632680615121	0	0	0	0	7.45992350765112e-05	7.77596160163629e-05	0	0	0	0	0	5.59705088148884e-05
aminoglycoside__aac(6')-II	0	0.000101078763447879	6.78627203373083e-05	0	0	0	0	0	0	0	0	0	9.11781661490983e-05	0.000110937402845924	0	0	0	0.000144598131317759	0	0	0
aminoglycoside__aad(6)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aad(9)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadA	0	0	0.000300218301777394	0	5.4500367265518e-05	0	0	0	0	0.000511398810921885	0	0	0.00020647102102875	0.000366172157761914	0	0	0	0	0	0.000288252482139123	0.000315212688450364
aminoglycoside__aadB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
aminoglycoside__aadD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
